,comment,comment_id,author_url,author_name,reply_count,like_count,date,vidid,total_reply_counts,vid_title,just_date
10,*what if he goes bankrupt*,Ugy_6H6esIEcba1mQfB4AaABAg,http://www.youtube.com/channel/UCigRr5as5ZK63wPi8fP6fZw,KaiPai,0,0,2021-01-13 16:59:04+00:00,YSoJPA8-oHc,0,If You Click This Video I'll Give My Friend .001$,2021-01-13
11,Does chandler really have an austrich?,UgyiGo6n-IKieCRsp_l4AaABAg,http://www.youtube.com/channel/UCyktm2abk5dRyhSlZN8UVuQ,big one9732 allairw,0,1,2021-01-13 16:59:03+00:00,D9lVNzyhYnc,0,Surviving 24 Hours Straight In The Bermuda Triangle,2021-01-13
12,The haters feel guilty now that he is one of the greatest youtubers ever,UgyS77y1eY2YH3jO5uZ4AaABAg,http://www.youtube.com/channel/UCrK9pAQv6NcWp5WC-T_VNWw,eEeEeEeEeEeEeEeEeEeEeEe EeEeEeEeEeEeEeEeEeEeEeE,0,1,2021-01-13 16:59:01+00:00,TRiF8PdrIP8,0,MrBeast6000's Channel Trailer,2021-01-13
13,Omg he was 50.6mfollowers yesterday lol and now he has 51 m,UgxMJJ6Zc8LYzAo6Flp4AaABAg,http://www.youtube.com/channel/UCReGK63Znfb1cVM1pIWAtzQ,Giraffes are love Giraffes are life,0,0,2021-01-13 16:58:53+00:00,3LLnjRLrvLU,0,I Opened A Free Car Dealership,2021-01-13
14,mr beast you  are  the  beeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeest  i cant belive  its that many pepole,UgxuazvIXfjkzTHEP7J4AaABAg,http://www.youtube.com/channel/UCVp5MoTR1tBDrTjwDbvuzDg,ZFG,0,0,2021-01-13 16:58:48+00:00,dg2Ag3e8W-Q,0,I Opened A Restaurant That Pays You To Eat At It,2021-01-13
15,"i know this will be lost in the tsunami of comments and its probably too late, but i am one of your international fans who watches all your videos. i am from India",UgyJT0tZYWO1vOL0KPh4AaABAg,http://www.youtube.com/channel/UC64GNdGx3COQgPA86b8U4ow,Adi Saha,0,0,2021-01-13 16:58:48+00:00,dg2Ag3e8W-Q,0,I Opened A Restaurant That Pays You To Eat At It,2021-01-13
16,BOO TITANS LETS GO CHIEFS!!!,Ugy-m6Yzz2HwesTwy2x4AaABAg,http://www.youtube.com/channel/UC8U1sLSvxqPJf29UUzeekGA,Alman Karim,0,0,2021-01-13 16:58:46+00:00,LP_mGU3CgXk,0,SURPRISING MY BROTHER WITH A LAPTOP,2021-01-13
17,How did he light that by his self?,UgzifJB0I86VxKRYiMV4AaABAg,http://www.youtube.com/channel/UCq58nLbR-hmMp1SKdGUL6VQ,Daria Mendoza,0,1,2021-01-13 16:58:43+00:00,Rj_vssRaZlQ,0,I Ate The World’s Largest Slice Of Pizza,2021-01-13
18,Wheres the career option i wanna join the squad 😤,UgxkIWJK3GHqAWUFKHN4AaABAg,http://www.youtube.com/channel/UCzSEKEc4t33gbilegmPhSiw,Felipe Melchor,0,0,2021-01-13 16:58:36+00:00,wMuYiLby3-s,0,"Last To Stop Riding Bike Wins $1,000,000 (Part 4)",2021-01-13
19,plot twist: this is 3 days ago,UgwwCC3wiSepBnUVTqd4AaABAg,http://www.youtube.com/channel/UCpiR5r0zMKDLHH0zjS-WZ0g,random coronaviruis kid,0,0,2021-01-13 16:58:35+00:00,TRiF8PdrIP8,0,MrBeast6000's Channel Trailer,2021-01-13
20,nolan will win,Ugz760DrDVx5YnL6kvp4AaABAg,http://www.youtube.com/channel/UCijWvTpi55EqL5Drb_mlCEw,Lonny,0,1,2021-01-13 16:58:34+00:00,NkE0AMGzpJY,0,"Last To Leave $800,000 Island Keeps It",2021-01-13
21,CHANDLER,Ugzk-eEgM8XZl3EFm7V4AaABAg,http://www.youtube.com/channel/UCX8lvET83MmLRTZrkGcHQPw,Pola Maka,0,0,2021-01-13 16:58:33+00:00,6wsFjjhZPJI,0,"Last To Leave Revolving Door Wins $50,000",2021-01-13
22,You remind me of gai Sensai from naruto and with this challenge,UgzrCxp-a8q3vFVg3Kd4AaABAg,http://www.youtube.com/channel/UC1fHPL-jHnmn8LHxBAUCL6g,Bravery Sick,0,0,2021-01-13 16:58:25+00:00,LU_xVr4b2qM,0,"Going Around A Ferris Wheel 1,000 Times Straight",2021-01-13
23,"HI, CAN YOU GO IN THE PHILIPPINES, IM ONE OF YOUR SUBSCRIBER..",UgycwGYyPXDdPjrG-Dh4AaABAg,http://www.youtube.com/channel/UCekntx8aBZZnWXVv6pLSaJw,Floyd No Weather,0,0,2021-01-13 16:58:23+00:00,dg2Ag3e8W-Q,0,I Opened A Restaurant That Pays You To Eat At It,2021-01-13
24,Intro song name please,UgwmQgn2Onccl90-6j94AaABAg,http://www.youtube.com/channel/UCXkvp4rhjCkwc1wcYbrLFrQ,being briyan,0,0,2021-01-13 16:58:22+00:00,PKtnafFtfEo,0,"Youtube Rewind 2020, Thank God It's Over",2021-01-13
25,Wowwwwwww,Ugz_KavPCHsg2R4pC9Z4AaABAg,http://www.youtube.com/channel/UCFDocXMO0q6plQKAIDLaSDQ,jancent ・15 years ago,0,0,2021-01-13 16:58:17+00:00,5Fg9oZk-5uA,0,I Bought Everything In 5 Stores,2021-01-13
26,Give this man a house,Ugw3EqoykE7g37DvwIp4AaABAg,http://www.youtube.com/channel/UCVNMpIm510Gg3ngq185piVQ,Nawled J,0,1,2021-01-13 16:58:16+00:00,2eFSU7TFOnk,0,Spending 24 Hours On Top Of A Mountain,2021-01-13
27,soulja boy,Ugz6D94Hz9sTkjsXilp4AaABAg,http://www.youtube.com/channel/UCXRcvzI_E3mfaKQ6Yl8_mDw,Linguini Succ,0,0,2021-01-13 16:58:15+00:00,PKtnafFtfEo,0,"Youtube Rewind 2020, Thank God It's Over",2021-01-13
28,THIS WAS 5 YEARS AGO?,UgzK28iuL7AV55UG1X54AaABAg,http://www.youtube.com/channel/UC0kiQErwGulEuyyH_JcH3Tw,Riot 9000,0,0,2021-01-13 16:58:13+00:00,TRiF8PdrIP8,0,MrBeast6000's Channel Trailer,2021-01-13
29,"I'm actually really hungry.


Me:..........





Same Bro",Ugxx30DBoV3QydUHDi54AaABAg,http://www.youtube.com/channel/UCQrf0Vev65O_NIGH65H9iOg,Jackie Skeen,0,0,2021-01-13 16:58:07+00:00,Rj_vssRaZlQ,0,I Ate The World’s Largest Slice Of Pizza,2021-01-13
30,Mr beast you are cool as ship I was aspossed to put t,UgzzwTC-YKce8wDUrA14AaABAg,http://www.youtube.com/channel/UCOK3F3SQ43DyuTzEq18dg_A,Elliottopoke123,0,1,2021-01-13 16:58:04+00:00,5Fg9oZk-5uA,0,I Bought Everything In 5 Stores,2021-01-13
31,"mr beast in 70 years-

First to get to the moon and back keeps it",UgxWtqWTnIyPgAbJivh4AaABAg,http://www.youtube.com/channel/UCq40wMp9LzKQGF8HFVhAPXQ,Manhattan Meow,0,0,2021-01-13 16:57:52+00:00,Dc2ZRmuH5OM,0,"Steal This $100,000 Diamond, You Keep It",2021-01-13
32,Chandler why you lose 4 challenge,UgwzxFKWB3WYrPdiMnx4AaABAg,http://www.youtube.com/channel/UCtmJk7M2MwBUMRC3vgm5t_g,卢德梅,0,0,2021-01-13 16:57:50+00:00,7zi0bi-RDj4,0,"Eating A $10,000 Golden Steak (24k Gold)",2021-01-13
33,Cory always yells in a horror game lol,UgxPg6gHDZMmGSQrRst4AaABAg,http://www.youtube.com/channel/UC1PJmIt2OvXqSY8OqC2wqUg,Kingston The Ferret,0,0,2021-01-13 16:57:36+00:00,PKtnafFtfEo,0,"Youtube Rewind 2020, Thank God It's Over",2021-01-13
34,Hi,UgzFuInjXohYbVdNeGN4AaABAg,http://www.youtube.com/channel/UCd1NoYShvbm4t__14vkWCxA,Ryann Jauregui,0,0,2021-01-13 16:57:31+00:00,dg2Ag3e8W-Q,0,I Opened A Restaurant That Pays You To Eat At It,2021-01-13
35,This is awesome,UgxMhzvMGDmBgaL4KsN4AaABAg,http://www.youtube.com/channel/UCUGJJaQKxiZ4AyNndh-hqLA,Stan Cooley,0,0,2021-01-13 16:57:20+00:00,ZV7rU6lnAKQ,0,"$200,000 Youtuber Battle Royale",2021-01-13
36,"*Mr. Beast approaches*
Homeless people: OH YESSS
Stores: OH FRICK",UgwJSC5om2A8_Z2FZOB4AaABAg,http://www.youtube.com/channel/UCtkAeQGPuB2SkHnQ2G3xlxw,SpeedTV,0,1,2021-01-13 16:57:06+00:00,5Fg9oZk-5uA,0,I Bought Everything In 5 Stores,2021-01-13
37,Wow a golden steak amd golden pizza,UgwmOjJme7IRg0JDtPp4AaABAg,http://www.youtube.com/channel/UCtmJk7M2MwBUMRC3vgm5t_g,卢德梅,0,0,2021-01-13 16:56:52+00:00,7zi0bi-RDj4,0,"Eating A $10,000 Golden Steak (24k Gold)",2021-01-13
38,Being Mr.beast's friend make u Jeff bezos😂,UgxyAQeq-GmN-nfZixZ4AaABAg,http://www.youtube.com/channel/UCa_2KbFXKLXY-cHGAWFUMtw,S ABHINAV,0,0,2021-01-13 16:56:42+00:00,D9lVNzyhYnc,0,Surviving 24 Hours Straight In The Bermuda Triangle,2021-01-13
39,T have press the button,UgzvWBV1Iie3Ry5fzA14AaABAg,http://www.youtube.com/channel/UChv4S7UrqmFU5uF2ckzWONA,OzMX,0,0,2021-01-13 16:56:41+00:00,GLoeAJUcz38,0,"Press This Button To Win $100,000!",2021-01-13
40,"5:09
Ha sos re troll XD",UgwnzYnCzLeI_2OcHhR4AaABAg,http://www.youtube.com/channel/UCmR9BsgZ4I6l_68oury5jWg,Milgros Gomez,0,0,2021-01-13 16:56:40+00:00,PKtnafFtfEo,0,"Youtube Rewind 2020, Thank God It's Over",2021-01-13
41,Check Out My Gaming Videos!!!,UgwMhq1aRujullTTqiF4AaABAg,http://www.youtube.com/channel/UCWaS7OyJH0BLw9RGI0JLwjQ,AVAKI,0,0,2021-01-13 16:56:39+00:00,5Fg9oZk-5uA,0,I Bought Everything In 5 Stores,2021-01-13
42,MR BEAST I LOVE UR VIDEOS,UgzknJKh5LKqTDu_28B4AaABAg,http://www.youtube.com/channel/UC8xJ7EWxsAUJUSR--OK65MQ,Summaiya Ahmed,0,0,2021-01-13 16:56:37+00:00,5Fg9oZk-5uA,0,I Bought Everything In 5 Stores,2021-01-13
43,Just wait till he buys America,UgxPc1_SwMHLnCiqBcJ4AaABAg,http://www.youtube.com/channel/UCDjhhUTCYNOUTikaRg-2cSw,Is Xhokola,0,1,2021-01-13 16:56:36+00:00,5Fg9oZk-5uA,0,I Bought Everything In 5 Stores,2021-01-13
44,no way hahahaha im from canada,Ugxx98SFrGL2NQEnvR14AaABAg,http://www.youtube.com/channel/UC1g7_mnaPwzIWgm4YNwblaQ,Jean-Nicolas Normandin,0,0,2021-01-13 16:56:23+00:00,dg2Ag3e8W-Q,0,I Opened A Restaurant That Pays You To Eat At It,2021-01-13
45,I'm subscribed,UgxRSOhEeZkLxnQRWjB4AaABAg,http://www.youtube.com/channel/UCjQ3Hx51TV-o81WwydF9w2A,Ayden Silveira,0,0,2021-01-13 16:56:16+00:00,dg2Ag3e8W-Q,0,I Opened A Restaurant That Pays You To Eat At It,2021-01-13
46,what u gonna give ur 50mil subscriber,UgzH-UkzSumOE5XKU_N4AaABAg,http://www.youtube.com/channel/UCvXEfOKQ2Z3G2hZxmtsXH1g,HowToDo,0,0,2021-01-13 16:56:16+00:00,5Fg9oZk-5uA,0,I Bought Everything In 5 Stores,2021-01-13
47,If mrbeast was presented I would vote for him..,UgwUqulvkY7nitZ_uq94AaABAg,http://www.youtube.com/channel/UC7YJccli6JAATTvGwQ0zGew,Nick eh rr,0,0,2021-01-13 16:56:09+00:00,5Fg9oZk-5uA,0,I Bought Everything In 5 Stores,2021-01-13
48,Hey Mr. beast can I have some money I am literally poor,UgwJTXbXD_-dAlzj3zp4AaABAg,http://www.youtube.com/channel/UCbKjUUO11mWUBLUTnfhzqsA,Uncle Skoobis,0,0,2021-01-13 16:56:00+00:00,5Fg9oZk-5uA,0,I Bought Everything In 5 Stores,2021-01-13
49,Anyone else saw carl in the back just recording,UgxJxej19mNpqaX7CA54AaABAg,http://www.youtube.com/channel/UCAYLQOgEyAzZre_TBQp-4Gg,Jallal Btw,0,0,2021-01-13 16:55:55+00:00,wMuYiLby3-s,0,"Last To Stop Riding Bike Wins $1,000,000 (Part 4)",2021-01-13
50,"Love your videos Mr Beast.
My ebay id is Kaitee2469 if you get an itch for sports cards.",UgzRXvyqTI8Dwt_s5q94AaABAg,http://www.youtube.com/channel/UC_jWao1KpcqOJQn398qNpDA,Michael Sanseri,0,0,2021-01-13 16:55:46+00:00,5Fg9oZk-5uA,0,I Bought Everything In 5 Stores,2021-01-13
51,9,UgxeFRv2W1fMoJ8BIa54AaABAg,http://www.youtube.com/channel/UCGcPpKfF0S6FYHHjNbgkeVA,Fan An-tung,0,0,2021-01-13 16:55:43+00:00,tQ4m4zD7BBA,0,"Last To Fall Wins $1,000,000 (Part 1)",2021-01-13
52,I wish there was one left so I could get one I love dogs,UgxP29zEbQ40TAJ7Wr94AaABAg,http://www.youtube.com/channel/UCPfheKflOkayfE1--mm4d7w,William Brown,0,0,2021-01-13 16:55:43+00:00,YQDDm9HLkV4,0,I Adopted EVERY Dog In A Dog Shelter,2021-01-13
53,Yup,UgzCHcZOb9XLd7u_G394AaABAg,http://www.youtube.com/channel/UCQtv53COjc24qXsq3Dn0x0Q,Moises Garcia,0,0,2021-01-13 16:55:41+00:00,erQ_9yEz0ls,0,"I Bought The World's Largest Firework ($600,000)",2021-01-13
54,Mr Beast Rules,UgzNhvCzncsMZeiL4614AaABAg,http://www.youtube.com/channel/UCDX6JEitllArmVezRWE-e9g,Justin Roy,0,0,2021-01-13 16:55:36+00:00,dg2Ag3e8W-Q,0,I Opened A Restaurant That Pays You To Eat At It,2021-01-13
55,I love mr beast 6000,Ugzkr6oJFWgpx4LxFf94AaABAg,http://www.youtube.com/channel/UCw_0GI8cXoy7eAQCnTHDGiQ,Assaf H,0,1,2021-01-13 16:55:33+00:00,I046_n20d3s,0,Standing Still For 24 Hours Straight - Statue Challenge,2021-01-13
56,who else saw the background there was a white light speeding across the sky as fast as light,UgwMiqsePLTyqUJNg8p4AaABAg,http://www.youtube.com/channel/UCtPOq7Kp2cMBbPuII17jTpw,Someone Schutte,0,0,2021-01-13 16:55:32+00:00,TOcGSwJBPMQ,0,I Spent 24 Hours Straight At Area 51,2021-01-13
57,Nolan is such a tryhard,UgxcIy1hriTJ3Vx-cMJ4AaABAg,http://www.youtube.com/channel/UCoZwq6CPFKBSBOZTWddLkrQ,Student,0,0,2021-01-13 16:55:24+00:00,NkE0AMGzpJY,0,"Last To Leave $800,000 Island Keeps It",2021-01-13
58,He be doing better than the orange president,UgxaEyhCPmf89ahrtqF4AaABAg,http://www.youtube.com/channel/UC2g0E_ysi0-4mMDwDY_AKzg,Mary Cipriano,0,0,2021-01-13 16:55:23+00:00,5Fg9oZk-5uA,0,I Bought Everything In 5 Stores,2021-01-13
59,Oh my gosh,UgzwrEpNqZH_lWCbWWd4AaABAg,http://www.youtube.com/channel/UChBZY_MzW3xMDibcjWyMBsw,Minecraft Roman A.,0,0,2021-01-13 16:55:07+00:00,P4qWhSZ7_WA,0,Things That SHOULDN'T Be Sold On Amazon,2021-01-13
60,Pay respects,Ugwl6v8UNq6hx_MHgfN4AaABAg,http://www.youtube.com/channel/UCVgrQ5JzGOK1toGG4VX0xww,Joaquin Coboj,0,0,2021-01-13 16:55:02+00:00,mpZWt5pGKZ8,0,The Real Way Dinosaurs Went Extinct,2021-01-13
61,subscribe to Mr beast,UgzzeiyzLPF0_yVLazd4AaABAg,http://www.youtube.com/channel/UCZtPZ3RKNnIuRx4l4YsLekw,XBlade,0,1,2021-01-13 16:55:00+00:00,sfv1QaRzJg8,0,I Ordered Pizza And Tipped The House,2021-01-13
62,So happy I can finally subscribe I now that I have a account I just want to say great job keep doing what you’re doing👍,UgyXZRiCrvgsvBktYed4AaABAg,http://www.youtube.com/channel/UCzJx4yKEY5VCqg7shBvw0BQ,Lil jay,0,0,2021-01-13 16:54:49+00:00,5Fg9oZk-5uA,0,I Bought Everything In 5 Stores,2021-01-13
63,Rumour has that they are still driving by that drive-through,UgwbVzVgzUaY8qgHY3N4AaABAg,http://www.youtube.com/channel/UCfZI4vYUn5uZzYY3Ln8yF0w,Eylül Arslan,0,1,2021-01-13 16:54:48+00:00,QxGVgXf_LNk,0,"Going Through The Same Drive Thru 1,000 Times",2021-01-13
64,Man found Sasuke's sword,UgxQljY3WcwkhJW2tn54AaABAg,http://www.youtube.com/channel/UCXXwEhtxk1rAzX86juQerfA,Damian Luna,0,0,2021-01-13 16:54:41+00:00,anFxsa5jXrE,0,"I Searched 100 Dumpsters, Here's What I Found",2021-01-13
65,HAHAHAHAHAH,UgwqfyYHOqX9_9HhACB4AaABAg,http://www.youtube.com/channel/UCMoZ2mEaPoTK9_bUk1vqpQQ,carl barandon,0,0,2021-01-13 16:54:41+00:00,iUzi5JmJNWc,0,Surprising Strangers With 100 Zombies - Experiment,2021-01-13
66,Why the fuck did this get recomended 5 years after,UgzzAQQN27hoET7RpQt4AaABAg,http://www.youtube.com/channel/UCQGWwcoKD15fkeCugZXo3PQ,Arunsan,1,0,2021-01-13 16:54:39+00:00,TRiF8PdrIP8,1,MrBeast6000's Channel Trailer,2021-01-13
67,"4:47
me: purple marks on my arm",UgyH1jy6H2YPo94mz6p4AaABAg,http://www.youtube.com/channel/UC6Ld_AvRB5xgZ1O0pnMwfKQ,James Fresh,0,1,2021-01-13 16:54:34+00:00,wMuYiLby3-s,0,"Last To Stop Riding Bike Wins $1,000,000 (Part 4)",2021-01-13
68,12:16 You forgot a sprite.....,UgzmNVT_n8DU9AgDaeR4AaABAg,http://www.youtube.com/channel/UCVW1OfwPhBV9-86KV7GyEZQ,RoDinoGamer,0,0,2021-01-13 16:54:28+00:00,5Fg9oZk-5uA,0,I Bought Everything In 5 Stores,2021-01-13
69,Hell yeah,UgwFUhRoDHO463nFTC94AaABAg,http://www.youtube.com/channel/UCYSOnyykKKTjCVjMl5wIWMQ,Artic dude,0,0,2021-01-13 16:54:27+00:00,anFxsa5jXrE,0,"I Searched 100 Dumpsters, Here's What I Found",2021-01-13
70,That Money guy knows nothing,Ugz37v5S-R83o9PW8t14AaABAg,http://www.youtube.com/channel/UCFRQwrKiijM4V7Ih434MSHg,ImAProfessional Idiot,0,1,2021-01-13 16:54:20+00:00,anFxsa5jXrE,0,"I Searched 100 Dumpsters, Here's What I Found",2021-01-13
71,i cant find this song 7:18,UgzcLc1lJd_hzps-emJ4AaABAg,http://www.youtube.com/channel/UCR5HObY64SVHyyDvZYBaq9g,TPI,0,0,2021-01-13 16:54:18+00:00,r7zJ8srwwjk,0,I Spent 50 Hours In Solitary Confinement,2021-01-13
72,CUPCAKE S IS THE BEST,UgyeHbvHvE2As3_aJrV4AaABAg,http://www.youtube.com/channel/UCUItx8kwoQvS0CJxmk58XRg,Jonathan Chang,0,0,2021-01-13 16:54:17+00:00,Vl3swga-Xrk,0,"Would You Rather Have A Giant Diamond or $100,000?",2021-01-13
73,Mr Beast its good and bad,UgzkE75Js3404Vjsbhl4AaABAg,http://www.youtube.com/channel/UCdoLb1fTJYMdfq3aRUyHATA,SUHEL PATEL,0,0,2021-01-13 16:54:10+00:00,OAbP-V6fEVc,0,"I Broke Into A House And Left $50,000",2021-01-13
74,Brruh,UgznyTHVwJ7D5MkfvrN4AaABAg,http://www.youtube.com/channel/UCyrExn5_o7JBpdwehYc0uYw,ShadyBoy22 QQ,0,0,2021-01-13 16:54:07+00:00,dg2Ag3e8W-Q,0,I Opened A Restaurant That Pays You To Eat At It,2021-01-13
75,Credit card: 😭😭😭😭😭😭,UgwuHGXqQ_ElmrQJyHR4AaABAg,http://www.youtube.com/channel/UCKQYloLLqhPsmHq_TnzhBkg,Roblox noob club,0,0,2021-01-13 16:53:37+00:00,5Fg9oZk-5uA,0,I Bought Everything In 5 Stores,2021-01-13
76,Emma Roberts,Ugyh-msepSMcapIbeMx4AaABAg,http://www.youtube.com/channel/UCPwNIVvdVofVuoWLoi4LWHw,Vernon Toby,0,0,2021-01-13 16:53:33+00:00,zE3FLbpu9-Q,0,"I Donated $40,000 To A Random Twitch Fortnite Streamer (world record)",2021-01-13
77,What did you get on the history test,UgzvRV1jx2sHkksV2Al4AaABAg,http://www.youtube.com/channel/UCuRXVt5qXVfGiB8j-Ip9vUw,juls s,0,0,2021-01-13 16:53:28+00:00,AKJfakEsgy0,0,Hi Me In 5 Years,2021-01-13
78,So you just payed 56 thousand in 7 months...,Ugx7fM9dFFMwVkbLPZN4AaABAg,http://www.youtube.com/channel/UC1UiVgzejzCf5y7ytppp_HQ,KecseK,0,0,2021-01-13 16:53:26+00:00,YSoJPA8-oHc,0,If You Click This Video I'll Give My Friend .001$,2021-01-13
79,🥰🥰🥰,Ugzlrbm1plmTCtXkQ3V4AaABAg,http://www.youtube.com/channel/UCUd65S_jYb5agcfe6W2biHw,Eshrak Farabi Tithi,0,0,2021-01-13 16:53:25+00:00,tQ4m4zD7BBA,0,"Last To Fall Wins $1,000,000 (Part 1)",2021-01-13
80,"the balance beam one isn't even hard, you just have to walk in a straight line.",UgwYOxEyZoWctDZtL_Z4AaABAg,http://www.youtube.com/channel/UCq40wMp9LzKQGF8HFVhAPXQ,Manhattan Meow,0,0,2021-01-13 16:53:18+00:00,Dc2ZRmuH5OM,0,"Steal This $100,000 Diamond, You Keep It",2021-01-13
81,iim in 2021 hby,UgzvlF2NZb0S-AFMOQZ4AaABAg,http://www.youtube.com/channel/UCxT-ghB_AdnId0NR2_akffw,Aryns A QT,0,0,2021-01-13 16:53:14+00:00,YyhKdOCwD7s,0,24 Hours In The Most Haunted Place On Earth,2021-01-13
82,"i love this, can't believe he's at 51 mil right now",UgxVGneqaPNlxTGWfWd4AaABAg,http://www.youtube.com/channel/UCq-wjV8iR4O3NLgPM1Etfjg,BlueBerryIceTea,1,0,2021-01-13 16:53:13+00:00,0hVZOJCYBBM,1,Important Youtube Announcement (please watch),2021-01-13
83,Pewdiepie's a lucky senpai,UgwkN3nwAlx87fGx1qt4AaABAg,http://www.youtube.com/channel/UCA0NBHEQLVs3csHKVVPH6sQ,Falcon King,0,0,2021-01-13 16:53:12+00:00,dBxOYE2j55U,0,Make This Video The Most Liked Video On Youtube,2021-01-13
84,Man i aint ever seen no eyebrows more sculpted than Chandlers,Ugxk9W52FyJkDoJ3ujd4AaABAg,http://www.youtube.com/channel/UCalkeddG8dgBPr5IrTaxbag,Leron Dsouza,0,0,2021-01-13 16:53:11+00:00,9cCpZl8euLI,0,I Gave A Homeless Man A Home,2021-01-13
85,buy everything in local markets,Ugwhi3jzrZoXeUfGOCl4AaABAg,http://www.youtube.com/channel/UChYBPE9SdNZrymE39KN-QdA,Jerk Berk,0,0,2021-01-13 16:53:11+00:00,5Fg9oZk-5uA,0,I Bought Everything In 5 Stores,2021-01-13
86,abcdefhijklmnopqrstwxyz,Ugz9P96xibMhA5Kg2ix4AaABAg,http://www.youtube.com/channel/UC330cpZaF4wpoexYnL9lRPA,Out Of The Box,0,0,2021-01-13 16:53:11+00:00,vETSAZgfDP4,0,I Flew Using Only Balloons AND Leaf Blowers,2021-01-13
87,Where are the God heck is my cookie,UgwzLoCFoZaDLcbeFy94AaABAg,http://www.youtube.com/channel/UCrJ7sdyHlCYN6m1E8Bk1xkw,Lukia Wings,1,0,2021-01-13 16:53:09+00:00,TRiF8PdrIP8,1,MrBeast6000's Channel Trailer,2021-01-13
88,"After 10 years 
Mrbeast: let's buy whole Jupiter with it's moon and give all the moon for charity",Ugysgz1O9-HJ5S6GuVp4AaABAg,http://www.youtube.com/channel/UCcS0pElQHnB8_SyOfyURPEw,Tanu Hirlekar,0,0,2021-01-13 16:53:06+00:00,5Fg9oZk-5uA,0,I Bought Everything In 5 Stores,2021-01-13
89,Jimmy stop giving stuff to Chandler to get him to go out just leave him,UgxTi_KgwaTw37ynH114AaABAg,http://www.youtube.com/channel/UCRahaQlqCZo44ZIrzXAzyYA,Jack Moseley,0,0,2021-01-13 16:53:04+00:00,i2O6GMpNWGo,0,"Last To Leave The Tesla, Keeps It Challenge",2021-01-13
90,Wow,UgwrpynrFJclNQRCyVR4AaABAg,http://www.youtube.com/channel/UCq4IAORjOUizroekf4MXNrg,Imacake,0,0,2021-01-13 16:52:59+00:00,Er6QUQZbv0w,0,Breaking The Law,2021-01-13
